2020-09-14T04:58:09.791+0000 I CONTROL  [initandlisten] MongoDB starting : pid=8974 port=27017 dbpath=/var/www/denzelawuah.com/data 64-bit host=denzelswebsitedroplet
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] db version v3.6.3
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] git version: 9586e557d54ef70f9ca4b43c26892cd55257e1a5
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.1.1  11 Sep 2018
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] modules: none
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] build environment:
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten]     distarch: x86_64
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2020-09-14T04:58:09.792+0000 I CONTROL  [initandlisten] options: { processManagement: { fork: true }, storage: { dbPath: "/var/www/denzelawuah.com/data" }, systemLog: { destination: "file", path: "/var/www/denzelawuah.com/mongodb/mongo.log" } }
2020-09-14T04:58:09.793+0000 I -        [initandlisten] Detected data files in /var/www/denzelawuah.com/data created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2020-09-14T04:58:09.793+0000 I STORAGE  [initandlisten] 
2020-09-14T04:58:09.793+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2020-09-14T04:58:09.793+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2020-09-14T04:58:09.793+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2020-09-14T04:58:11.177+0000 I STORAGE  [initandlisten] WiredTiger message [1600059491:177043][8974:0x7f5a1c2850c0], txn-recover: Main recovery loop: starting at 1/42368
2020-09-14T04:58:11.305+0000 I STORAGE  [initandlisten] WiredTiger message [1600059491:305427][8974:0x7f5a1c2850c0], txn-recover: Recovering log 1 through 2
2020-09-14T04:58:11.378+0000 I STORAGE  [initandlisten] WiredTiger message [1600059491:378790][8974:0x7f5a1c2850c0], txn-recover: Recovering log 2 through 2
2020-09-14T04:58:11.482+0000 I CONTROL  [initandlisten] 
2020-09-14T04:58:11.482+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] 
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] ** WARNING: This server is bound to localhost.
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          Remote systems will be unable to connect to this server. 
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          Start the server with --bind_ip <address> to specify which IP 
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          addresses it should serve responses from, or with --bind_ip_all to
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          bind to all interfaces. If this behavior is desired, start the
2020-09-14T04:58:11.483+0000 I CONTROL  [initandlisten] **          server with --bind_ip 127.0.0.1 to disable this warning.
